id;date;details;status;payment_method;payment_date;payment_amount
1;2020-05-31T06:23:21;RAM Focused;PAID;CASH_ON_DELIVERY;2020-05-31T14:45:28;64379
2;2020-05-31T03:13:27;Licensed Soft Sausages Rhode Island;CANCELLED;CASH_ON_DELIVERY;2020-05-31T08:23:45;17323
3;2020-05-31T07:40:52;Incredible Baby;CANCELLED;PAYPAL;2020-05-31T11:12:33;11017
4;2020-05-31T05:10:47;back-end Money Market Account Legacy;ISSUED;CASH_ON_DELIVERY;2020-05-31T05:14:55;51438
5;2020-05-30T23:50:55;function;PAID;PAYPAL;2020-05-31T16:25:00;32278
6;2020-05-31T00:50:43;action-items;CANCELLED;CASH_ON_DELIVERY;2020-05-31T14:37:55;5232
7;2020-05-31T17:37:26;Internal compressing Iceland;CANCELLED;CREDIT_CARD;2020-05-31T11:14:48;62169
8;2020-05-31T03:32:30;Toys;ISSUED;PAYPAL;2020-05-31T14:10:27;10756
9;2020-05-31T05:02:55;Small Rubber Salad Oklahoma;CANCELLED;PAYPAL;2020-05-31T18:46:28;58055
10;2020-05-31T03:40:40;navigate Home Loan Account Guinea-Bissau;PAID;PAYPAL;2020-05-31T16:06:51;94075
