id;placed_date;status;code
1;2020-05-31T13:45:21;COMPLETED;Georgia calculate withdrawal
2;2020-05-31T00:41:51;COMPLETED;compress Steel out-of-the-box
3;2020-05-31T02:13:03;PENDING;Concrete
4;2020-05-31T15:38:58;CANCELLED;Investment Account
5;2020-05-31T02:55:48;PENDING;United States of America
6;2020-05-31T17:07:52;CANCELLED;IB Industrial Credit Card Account
7;2020-05-31T20:14:17;CANCELLED;Cotton Egyptian Pound
8;2020-05-31T05:10:21;COMPLETED;Home Loan Account
9;2020-05-31T14:04:37;COMPLETED;Human
10;2020-05-31T00:13:15;CANCELLED;payment
